strategy,alloc_key,ticker,entry_date,exit_date,days_held,exit_type,contracts,risk_per_pos,mlpc,net_pnl_1ct,pnl_dollars,roc_pct,is_win,vix_on_entry
GLD Put Calendar,GLD calendar,GLD,2025-12-12,2025-12-19,7,profit_take,4,622.4283562207651,147.50000000000006,0.47499999999999964,1.8999999999999986,32.20338983050844,True,15.74
GLD Put Calendar,GLD calendar,GLD,2025-12-26,2026-01-05,10,profit_take,5,622.4283562207651,119.99999999999993,0.34999999999999964,1.7499999999999982,29.16666666666665,True,13.6
XLU Put Calendar,XLU calendar,XLU,2025-01-17,2025-01-21,4,profit_take,242,1818.6056365923741,7.499999999999996,0.07000000000000006,16.940000000000015,93.33333333333347,True,15.97
XLU Put Calendar,XLU calendar,XLU,2025-01-24,2025-01-31,7,profit_take,165,1818.6056365923741,10.999999999999988,0.2550000000000001,42.07500000000002,231.81818181818218,True,14.85
XLU Put Calendar,XLU calendar,XLU,2025-03-07,2025-03-11,4,profit_take,117,1818.6056365923741,15.49999999999998,0.08500000000000019,9.945000000000022,54.83870967741954,True,23.37
XLU Put Calendar,XLU calendar,XLU,2025-03-14,2025-03-27,13,profit_take,125,1818.6056365923741,14.500000000000002,0.06499999999999995,8.124999999999993,44.827586206896505,True,21.77
XLU Put Calendar,XLU calendar,XLU,2025-03-21,2025-04-10,20,profit_take,72,1818.6056365923741,25.0,0.33499999999999996,24.119999999999997,134.0,True,19.28
XLU Put Calendar,XLU calendar,XLU,2025-04-25,2025-04-28,3,profit_take,134,1818.6056365923741,13.5,0.08499999999999996,11.389999999999995,62.96296296296293,True,24.84
XLU Put Calendar,XLU calendar,XLU,2025-06-06,2025-06-09,3,profit_take,134,1818.6056365923741,13.5,0.15500000000000003,20.770000000000003,114.81481481481484,True,16.77
XLU Put Calendar,XLU calendar,XLU,2025-06-13,2025-06-24,11,profit_take,113,1818.6056365923741,16.000000000000014,0.04499999999999982,5.0849999999999795,28.12499999999986,True,20.82
XLU Put Calendar,XLU calendar,XLU,2025-06-27,2025-06-30,3,profit_take,151,1818.6056365923741,11.99999999999999,0.05500000000000016,8.305000000000025,45.833333333333506,True,16.32
XLU Put Calendar,XLU calendar,XLU,2025-08-01,2025-08-08,7,profit_take,129,1818.6056365923741,14.000000000000012,0.05999999999999994,7.739999999999992,42.857142857142776,True,20.38
