delta_target,vix_threshold,entry_date,expiry,actual_dte,strike,put_entry_delta,put_entry_mid,put_entry_bid,vix_on_entry,exit_date,exit_price,exit_type,days_held,short_pnl,short_pnl_worst,pnl_pct,pnl_pct_worst,margin_reg_t,roc,annualized_roc,breakeven_pct,is_win,is_open,split_flag,missing_exit_data
0.15,30.0,2019-09-20,2019-10-18,28,20.0,-0.1543,0.585,0.58,15.32,2019-09-27,0.155,early,7,42.99999999999999,42.49999999999999,0.7350427350427349,0.7327586206896551,458.5,0.09378407851690293,4.8901698083813665,0.029249999999999998,True,False,False,False
0.15,30.0,2019-10-11,2019-11-15,35,20.0,-0.198,0.88,0.77,15.58,2019-11-15,3.84,expiry,35,-296.0,-307.0,-3.3636363636363638,-3.987012987012987,488.0,-0.6065573770491803,-6.325526932084309,0.044,False,False,False,False
0.15,30.0,2019-10-18,2019-11-15,28,18.0,-0.1661,0.455,0.45,14.25,2019-11-15,1.84,expiry,28,-138.5,-139.0,-3.043956043956044,-3.088888888888889,405.5,-0.34155363748458695,-4.452395631495508,0.025277777777777777,False,False,False,False
0.15,30.0,2019-10-25,2019-11-22,28,16.5,-0.1686,0.38,0.35,12.65,2019-11-22,0.48,expiry,28,-9.999999999999998,-13.0,-0.26315789473684204,-0.37142857142857144,368.0,-0.027173913043478257,-0.35423136645962733,0.02303030303030303,False,False,False,False
0.15,30.0,2019-11-01,2019-11-29,28,16.0,-0.2231,0.485,0.45,12.3,2019-11-29,1.26,expiry,28,-77.5,-81.0,-1.597938144329897,-1.8,368.5,-0.21031207598371776,-2.741568133359178,0.0303125,False,False,False,False
0.15,30.0,2019-11-08,2019-12-06,28,15.0,-0.1618,0.345,0.33,12.07,2019-12-03,0.045,early,25,30.0,28.500000000000004,0.8695652173913043,0.8636363636363638,334.5,0.08968609865470852,1.3094170403587444,0.023,True,False,False,False
0.15,30.0,2019-11-15,2019-12-13,28,13.5,-0.1648,0.32,0.3,12.05,2019-12-03,0.075,early,18,24.5,22.499999999999996,0.765625,0.7499999999999999,302.0,0.08112582781456953,1.6450515084621045,0.023703703703703703,True,False,False,False
0.15,30.0,2019-11-22,2019-12-20,28,13.0,-0.1485,0.305,0.28,12.34,2019-12-03,0.12,early,11,18.5,16.000000000000004,0.6065573770491803,0.5714285714285715,290.5,0.06368330464716007,2.113127836019402,0.02346153846153846,True,False,False,False
0.15,30.0,2019-12-06,2020-01-03,28,12.0,-0.1321,0.235,0.22,13.62,2019-12-27,0.105,early,21,13.0,11.5,0.5531914893617021,0.5227272727272727,263.5,0.04933586337760911,0.8575042920393964,0.01958333333333333,True,False,False,False
0.15,30.0,2019-12-13,2020-01-10,28,11.5,-0.2074,0.43,0.38,12.63,2019-12-30,0.135,early,17,29.5,24.5,0.686046511627907,0.6447368421052632,273.0,0.10805860805860806,2.3200818789054085,0.03739130434782609,True,False,False,False
0.15,30.0,2019-12-20,2020-01-17,28,10.0,-0.1317,0.22,0.21,12.51,2019-12-27,0.085,early,7,13.5,12.499999999999998,0.6136363636363636,0.5952380952380951,222.0,0.060810810810810814,3.170849420849421,0.022,True,False,False,False
0.15,30.0,2020-01-03,2020-01-31,28,10.0,-0.1303,0.25,0.23,14.02,2020-01-24,0.065,early,21,18.5,16.5,0.74,0.717391304347826,225.0,0.08222222222222222,1.4291005291005292,0.025,True,False,False,False
0.15,30.0,2020-01-10,2020-02-07,28,10.0,-0.2254,0.42,0.38,12.56,2020-01-27,0.085,early,17,33.5,29.5,0.7976190476190477,0.7763157894736842,242.0,0.1384297520661157,2.9721682061254255,0.041999999999999996,True,False,False,False
0.15,30.0,2020-01-17,2020-02-14,28,9.0,-0.1889,0.285,0.25,12.1,2020-01-27,0.05,early,10,23.5,20.0,0.824561403508772,0.8,208.5,0.11270983213429256,4.113908872901678,0.03166666666666666,True,False,False,False
0.15,30.0,2020-01-24,2020-02-21,28,9.5,-0.1747,0.335,0.32,14.56,2020-01-27,0.16,early,3,17.5,16.0,0.5223880597014925,0.5,223.5,0.07829977628635347,9.526472781506339,0.035263157894736843,True,False,False,False
