tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_iv30,ib_pctile,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
ASPI,3.2350000000000003,1.1954192807707622,0.883,0.0,,,,,60.0,False,False,False,,,,,athena,0.0,True,38.04369334145048,True,False
ASTS,61.265,1.1014765056738165,0.7375,1.8867924528301887,,,,,50.0,False,False,False,,,,,athena,1.8867924528301887,True,48.538385165115464,True,False
AVGO,357.38,1.2556009504793266,0.3506,9.523809523809524,,,,,81.0,False,True,False,,,,,athena,9.523809523809524,True,45.37397404934931,True,False
AVXL,2.355,0.7790914087003923,1.5589,,,,,,65.0,False,False,False,,,,,none,,False,,True,False
AXP,312.495,0.8763169617810818,0.2852,58.666666666666664,,,,,32.0,False,False,False,,,,,athena,58.666666666666664,False,,True,False
AZN,167.995,0.9683653897770992,0.2871,62.616822429906534,,,,,46.0,False,False,False,,,,,athena,62.616822429906534,False,,True,False
AZO,2826.8999999999996,0.7883539798283666,0.4488,,,,,,2.0,False,False,False,,,,,none,,False,,True,False
BAC,57.685,0.9724874592588424,0.2526,48.484848484848484,,,,,23.0,False,False,False,,,,,athena,48.484848484848484,False,,True,False
BBAI,2.875,1.2691679517997965,0.6535,3.9215686274509802,,,,,50.0,False,True,False,,,,,athena,3.9215686274509802,True,45.346923713753796,True,False
BKNG,167.89999999999998,1.0922157417739293,0.3657,81.81818181818183,,,,,37.0,False,False,False,,,,,athena,81.81818181818183,False,,True,False
BP,43.754999999999995,1.0921694217822269,0.3105,73.6318407960199,,,,,43.0,False,False,False,,,,,athena,73.6318407960199,False,,True,False
BROS,38.475,1.2370600777206484,0.4619,41.88034188034188,,,,,45.0,False,True,False,,,,,athena,41.88034188034188,False,21.787185525338074,True,False
BSX,43.065,1.1788393827886567,0.3714,80.10752688172043,,,,,31.0,False,False,False,,,,,athena,80.10752688172043,False,36.91262564851563,True,False
BTDR,13.125,0.9934118159055648,1.003,25.438596491228072,,,,,50.0,False,False,False,,,,,athena,25.438596491228072,True,,True,False
