tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_pctile,ib_iv30,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
JNUG,162.005,1.0387536060593103,0.9541,,,,,,,False,False,False,,,,,none,,False,,True,False
JPM,349.57,0.9213730168256699,0.2588,66.23376623376623,,,,,27.0,False,False,False,,,,,athena,66.23376623376623,False,,True,False
KGC,27.9,1.1344884957374566,0.5006,46.93877551020408,,,,,42.0,False,False,False,,,,,athena,46.93877551020408,False,43.381168871652925,True,False
KKR,96.58,1.0385534587481187,0.3882,44.285714285714285,,,,,51.0,False,False,False,,,,,athena,44.285714285714285,False,,True,False
KLAC,169.545,1.0690918434429912,0.5412,,,,,,43.0,False,False,False,,,,,none,,False,,True,False
KMI,30.835,1.0134336384261575,0.2522,50.0,,,,,36.0,False,False,False,,,,,athena,50.0,False,,True,False
KO,87.925,1.194017673825294,0.1814,59.154929577464785,,,,,35.0,False,False,False,,,,,athena,59.154929577464785,False,51.048618520773026,True,False
KOLD,29.35,1.103250784920393,0.8021,11.851851851851853,,,,,,False,False,False,,,,,athena,11.851851851851853,True,50.74651556771809,True,False
KR,61.33,1.422927134539236,0.2248,45.751633986928105,,,,,79.0,False,True,False,,,,,athena,45.751633986928105,False,62.2171687858268,True,False
KVUE,17.835,0.72866344005086,0.3086,37.28813559322034,,,,,51.0,False,False,False,,,,,athena,37.28813559322034,False,,True,False
LB,85.1,1.169036745336812,0.4663,,,,,,57.0,False,False,False,,,,,none,,False,46.412116559709645,True,False
LEN,76.795,0.8861605200216885,0.4366,64.58333333333334,,,,,2.0,False,False,False,,,,,athena,64.58333333333334,False,,True,False
LITE,928.5,1.0618511255556522,0.7234,18.0327868852459,,,,,49.0,False,False,False,,,,,athena,18.0327868852459,True,,True,False
LLY,1138.4,1.2273232381596924,0.3166,35.585585585585584,,,,,43.0,False,True,False,,,,,athena,35.585585585585584,False,42.60088235192958,True,False
LMT,536.5,1.0598793287749761,0.2809,78.29457364341084,,,,,35.0,False,False,False,,,,,athena,78.29457364341084,False,,True,False
LNG,268.0,1.089687913366989,0.3004,63.29113924050633,,,,,44.0,False,False,False,,,,,athena,63.29113924050633,False,,True,False
LOW,194.39,1.1848050573032292,0.2677,48.87218045112782,,,,,63.0,False,False,False,,,,,athena,48.87218045112782,False,32.4147264646499,True,False
LRCX,273.04999999999995,1.0525545875645625,0.56,76.66666666666667,,,,,36.0,False,False,False,,,,,athena,76.66666666666667,False,,True,False
LUMN,6.699999999999999,1.0371777498028096,0.7224,30.8411214953271,,,,,44.0,False,False,False,,,,,athena,30.8411214953271,False,,True,False
LUNR,13.975,1.15753163659274,0.8153,18.947368421052634,,,,,49.0,False,False,False,,,,,athena,18.947368421052634,True,37.45000535791855,True,False
LVS,41.09,1.1650050421573566,0.3128,26.40449438202247,,,,,36.0,False,False,False,,,,,athena,26.40449438202247,True,28.12581979207704,True,False
M,22.01,1.444365925902819,0.3537,13.23529411764706,,,,,78.0,False,True,False,,,,,athena,13.23529411764706,True,44.90914495206147,True,False
MAR,335.79,1.1167511192980724,0.256,51.196172248803826,,,,,49.0,False,False,False,,,,,athena,51.196172248803826,False,40.15425355679852,True,False
MARA,11.14,1.0310930923694102,0.8504,40.49586776859504,,,,,49.0,False,False,False,,,,,athena,40.49586776859504,False,,True,False
MBLY,7.85,1.3877596110152326,0.4778,11.926605504587156,,,,,37.0,False,True,False,,,,,athena,11.926605504587156,True,36.22422741562854,True,False
MCD,249.45,1.0460770556216457,0.2322,83.66336633663366,,,,,50.0,False,False,False,,,,,athena,83.66336633663366,False,,True,False
