sym,entry,exit,how,pct,R,stop10,trail,hot
CPRI,2012-08-17,2012-09-25,ema,0.20254095064784483,0.05849556421920376,False,-0.7712746013650043,False
OC,2012-08-24,2012-09-26,ema,0.4619317915020016,0.16923234460065206,False,-0.7712746013650043,False
TEX,2012-09-12,2012-09-25,stop,-8.954897060504297,-1.6014988202757738,True,-0.9452662687295283,False
KBH,2012-10-04,2012-10-08,stop,-5.21801582194178,-1.0958862932502893,True,0.33203740459687525,True
PHM,2012-10-17,2012-11-09,stop,-3.862195569464588,-1.422220909392562,False,-1.4535277878038029,False
URI,2012-11-01,2012-11-07,stop,-6.023628561050431,-1.2326765460700286,True,-1.4535277878038029,False
REGN,2012-11-20,2012-12-19,ema,1.4051238132718025,0.2115667131435929,False,-1.5810330781739765,False
NOW,2013-03-06,2013-03-18,stop,-3.7650569158955927,-1.073171299033338,True,-1.51514633869359,False
AAL,2013-03-19,2013-04-02,stop,-6.385307977903231,-2.8108211436025097,True,-1.891991180009763,False
TEX,2013-03-20,2013-03-25,stop,-7.359507286415057,-1.2955689362065204,True,-1.891991180009763,False
BBY,2013-03-20,2013-03-21,stop,-2.83863942456386,-1.1090905935458806,True,-1.891991180009763,False
RDN,2013-03-28,2013-04-01,stop,-3.5544280240988546,-1.2857152326720351,True,-1.286310558556758,False
BBY,2013-04-05,2013-04-11,stop,-5.454469459506905,-1.1754290756093357,True,-1.499676871200863,False
KBH,2013-04-26,2013-05-01,stop,-4.123119339480363,-1.0531881373173881,True,-1.6254123887546883,False
CNX,2013-05-02,2013-05-14,stop,-2.5392334002984684,-1.009704900091482,True,-1.6517404814087464,False
KBH,2013-05-03,2013-05-22,stop,-4.27158701909539,-2.5128153794600316,False,-1.6517404814087464,False
REGN,2013-05-03,2013-05-23,stop,-4.433137864764047,-1.221863752942586,False,-1.6517404814087464,False
RDN,2013-05-07,2013-05-31,ema,-1.4029723425839857,-0.4133872110473633,False,-1.6517404814087464,False
DAL,2013-05-08,2013-05-09,stop,-5.334199345108304,-2.3414568433638183,True,-1.6517404814087464,False
DAL,2013-05-15,2013-05-21,stop,-4.568687492510037,-1.1690146496986296,True,-2.1063427373780685,False
