edate,pair,regime,credit,width,max_loss,pnl,pnl_gross,cost,exit,days,iv_pct,iv30,vix,vix_pct,roc,roc_gross,win,year,iv_b,vix_b
2019-07-19,0.30/0.15,Bullish_LowIV,0.655,4.0,3.3449999999999998,-0.25049999999999545,-0.22499999999999543,0.02550000000000001,expiry_loss,21,0.1752988047808765,0.14054895062023862,14.45,0.4063745019920319,-0.07488789237668025,-0.06726457399103003,False,2019,<30,30-60
2019-07-26,0.30/0.15,Bullish_LowIV,0.5800000000000001,3.5,2.92,-2.943,-2.92,0.023000000000000007,expiry_loss,21,0.1553784860557769,0.13921699308676766,12.16,0.07171314741035857,-1.007876712328767,-1.0,False,2019,<30,<30
2019-08-02,0.30/0.15,Bearish_LowIV,0.925,5.5,4.575,-2.1704999999999934,-2.1449999999999934,0.02549999999999998,expiry_loss,21,0.7051792828685259,0.20293316922209767,17.61,0.6852589641434262,-0.47442622950819524,-0.468852459016392,False,2019,60-80,60-80
2019-08-09,0.30/0.15,Bearish_LowIV,0.745,4.5,3.755,-0.8560000000000001,-0.8150000000000001,0.04100000000000001,stop_loss,5,0.5338645418326693,0.18174889328161178,17.97,0.6932270916334662,-0.22796271637816248,-0.21704394141145142,False,2019,30-60,60-80
2019-08-16,0.30/0.15,Bearish_LowIV,0.8699999999999999,5.0,4.13,0.8469999999999999,0.8699999999999999,0.02299999999999998,expiry_win,21,0.6414342629482072,0.20086944046208943,18.47,0.701195219123506,0.20508474576271182,0.21065375302663436,True,2019,60-80,60-80
2019-08-23,0.30/0.15,Bearish_LowIV,0.9149999999999999,5.0,4.085,0.8895,0.9149999999999999,0.02550000000000001,expiry_win,21,0.9123505976095617,0.24095541263433423,19.87,0.7848605577689243,0.21774785801713586,0.22399020807833536,True,2019,>=80,60-80
2019-08-30,0.30/0.15,Bearish_LowIV,0.805,4.5,3.695,0.399,0.44000000000000006,0.04100000000000001,profit_take,6,0.8167330677290837,0.22631678019625462,18.98,0.7171314741035857,0.10798376184032478,0.11907983761840327,True,2019,>=80,60-80
2019-09-06,0.30/0.15,Bearish_LowIV,0.755,4.0,3.245,0.7345,0.755,0.020499999999999977,expiry_win,21,0.47808764940239046,0.18449598549846713,15.0,0.3745019920318725,0.2263482280431433,0.23266563944530044,True,2019,30-60,30-60
2019-09-13,0.30/0.15,Bullish_LowIV,0.74,4.0,3.26,-3.283,-3.26,0.023000000000000007,expiry_loss,21,0.44223107569721115,0.18103500551637602,13.74,0.2350597609561753,-1.0070552147239265,-1.0,False,2019,30-60,<30
2019-09-20,0.30/0.15,Bullish_LowIV,0.835,4.5,3.665,-0.9705000000000011,-0.9450000000000012,0.02550000000000001,expiry_loss,21,0.5617529880478087,0.1942774853041591,15.32,0.40239043824701193,-0.26480218281036866,-0.25784447476125544,False,2019,30-60,30-60
2019-09-27,0.30/0.15,Bearish_LowIV,0.8549999999999999,5.0,4.1450000000000005,0.8344999999999999,0.8549999999999999,0.020500000000000004,expiry_win,21,0.6972111553784861,0.2087020127219364,17.22,0.5896414342629482,0.2013268998793727,0.20627261761158017,True,2019,60-80,30-60
2019-10-04,0.30/0.15,Bearish_LowIV,0.8150000000000001,4.5,3.685,0.7895000000000001,0.8150000000000001,0.02549999999999998,expiry_win,21,0.6852589641434262,0.2084731822001354,17.04,0.5697211155378487,0.214246947082768,0.22116689280868387,True,2019,60-80,30-60
2019-10-11,0.30/0.15,Bearish_LowIV,0.8250000000000001,5.0,4.175,0.7995000000000001,0.8250000000000001,0.02550000000000001,expiry_win,21,0.3705179282868526,0.1787408928686215,15.58,0.38645418326693226,0.191497005988024,0.1976047904191617,True,2019,30-60,30-60
2019-10-18,0.30/0.15,Bullish_LowIV,0.595,3.5,2.9050000000000002,0.5695,0.595,0.02550000000000001,expiry_win,21,0.2868525896414343,0.16623919534243903,14.25,0.23904382470119523,0.19604130808950085,0.2048192771084337,True,2019,<30,<30
2019-10-25,0.30/0.15,Bullish_LowIV,0.625,4.0,3.375,0.6045,0.625,0.02049999999999999,expiry_win,21,0.04780876494023904,0.14627550015137125,12.65,0.04780876494023904,0.1791111111111111,0.18518518518518517,True,2019,<30,<30
2019-11-01,0.30/0.15,Bullish_LowIV,0.585,3.5,2.915,0.5595,0.585,0.02550000000000001,expiry_win,21,0.11952191235059761,0.15330540169901835,12.3,0.02390438247011952,0.19193825042881646,0.20068610634648368,True,2019,<30,<30
2019-11-08,0.30/0.15,Bullish_LowIV,0.5349999999999999,3.5,2.965,0.5145,0.5349999999999999,0.020500000000000004,expiry_win,21,0.11155378486055777,0.1516387488576523,12.07,0.00398406374501992,0.17352445193929172,0.18043844856661043,True,2019,<30,<30
2019-11-15,0.30/0.15,Bullish_LowIV,0.555,3.5,2.945,0.5345000000000001,0.555,0.020500000000000004,expiry_win,21,0.13545816733067728,0.15271921685623968,12.05,0.00398406374501992,0.1814940577249576,0.18845500848896438,True,2019,<30,<30
2019-11-22,0.30/0.15,Bullish_LowIV,0.56,3.5,2.94,0.29400000000000004,0.3400000000000001,0.04600000000000001,profit_take,3,0.23904382470119523,0.15817106722216856,12.34,0.043824701195219126,0.10000000000000002,0.11564625850340139,True,2019,<30,<30
2019-11-29,0.30/0.15,Bullish_LowIV,0.655,3.5,2.8449999999999998,0.6345000000000001,0.655,0.020500000000000004,expiry_win,21,0.1593625498007968,0.15324939180410746,12.62,0.08366533864541832,0.22302284710017578,0.2302284710017575,True,2019,<30,<30
2019-12-06,0.30/0.15,Bullish_LowIV,0.715,4.0,3.285,0.6945,0.715,0.020500000000000004,expiry_win,21,0.26294820717131473,0.15834419790268933,13.62,0.27091633466135456,0.21141552511415523,0.2176560121765601,True,2019,<30,<30
2019-12-13,0.30/0.15,Bullish_LowIV,0.62,3.5,2.88,0.30900000000000005,0.355,0.04599999999999996,profit_take,4,0.2549800796812749,0.15774844900927076,12.63,0.09163346613545817,0.10729166666666669,0.12326388888888888,True,2019,<30,<30
2019-12-20,0.30/0.15,Bullish_LowIV,0.45,3.5,3.05,0.43200000000000005,0.45,0.017999999999999988,expiry_win,21,0.00398406374501992,0.12465216768959238,12.51,0.08366533864541832,0.1416393442622951,0.1475409836065574,True,2019,<30,<30
2019-12-27,0.30/0.15,Bullish_LowIV,0.5350000000000001,4.0,3.465,0.5145000000000002,0.5350000000000001,0.020499999999999977,expiry_win,21,0.06772908366533864,0.14188683291643187,13.43,0.2749003984063745,0.14848484848484855,0.15440115440115446,True,2019,<30,<30
2020-01-03,0.30/0.15,Bullish_LowIV,0.5899999999999999,4.0,3.41,0.5669999999999998,0.5899999999999999,0.023000000000000007,expiry_win,21,0.099601593625498,0.14678690053739352,14.02,0.38645418326693226,0.16627565982404688,0.1730205278592375,True,2020,<30,30-60
2020-01-10,0.30/0.15,Bullish_LowIV,0.5900000000000001,3.5,2.91,0.259,0.30500000000000005,0.04600000000000001,profit_take,4,0.08764940239043825,0.1421048736722701,12.56,0.09561752988047809,0.08900343642611684,0.1048109965635739,True,2020,<30,<30
2020-01-17,0.30/0.15,Bullish_LowIV,0.515,3.5,2.985,-0.806,-0.765,0.04099999999999998,stop_loss,7,0.03187250996015936,0.132425690345306,12.1,0.03187250996015936,-0.2700167504187605,-0.2562814070351759,False,2020,<30,<30
2020-01-24,0.30/0.15,Bullish_LowIV,0.7,4.5,3.8,-0.9610000000000003,-0.9050000000000002,0.05600000000000002,stop_loss,7,0.4820717131474104,0.16533700131454743,14.56,0.5059760956175299,-0.25289473684210534,-0.23815789473684218,False,2020,30-60,30-60
