sym,entry,expiry,credit,a_pnl,b_pnl,b_date,b_resolved,mark_cov,month,roc_a,roc_b
GLD,2018-04-06,2018-05-18,0.9369999999999999,0.46699999999999997,0.5539999999999999,2018-04-27,True,0.8666666666666667,2018-04,0.4983991462113127,0.5912486659551761
GLD,2018-04-13,2018-05-25,1.207,0.537,0.354,2018-05-04,True,0.7,2018-04,0.44490472245236123,0.2932891466445733
GLD,2018-04-20,2018-06-01,0.967,0.497,0.564,2018-05-11,True,0.7241379310344828,2018-04,0.5139607032057911,0.5832471561530507
GLD,2018-04-27,2018-06-08,0.967,0.967,-0.08599999999999997,2018-05-18,True,0.8275862068965517,2018-04,1.0,-0.08893485005170627
GLD,2018-05-04,2018-06-15,0.887,0.887,0.514,2018-05-25,True,0.9655172413793104,2018-05,1.0,0.5794813979706878
GLD,2018-05-11,2018-06-22,0.947,-0.723,0.07399999999999995,2018-06-01,True,0.8620689655172413,2018-05,-0.7634635691657867,0.07814149947201685
GLD,2018-05-18,2018-06-29,0.787,0.35700000000000004,0.414,2018-06-08,True,0.8620689655172413,2018-05,0.45362134688691236,0.5260482846251587
GLD,2018-05-25,2018-07-06,0.8270000000000001,-0.8129999999999998,0.08400000000000007,2018-06-15,True,0.8571428571428571,2018-05,-0.9830713422007252,0.101571946795647
GLD,2018-06-01,2018-07-13,0.777,-1.153,0.03400000000000003,2018-06-22,True,0.8620689655172413,2018-06,-1.483912483912484,0.0437580437580438
GLD,2018-06-08,2018-07-20,0.777,-2.743,-1.1559999999999997,2018-06-29,True,0.7241379310344828,2018-06,-3.5302445302445298,-1.4877734877734874
GLD,2018-06-15,2018-07-27,0.797,-1.363,0.12400000000000011,2018-07-06,True,0.7586206896551724,2018-06,-1.7101631116687577,0.1555834378920955
GLD,2018-06-22,2018-08-03,0.737,-1.323,-0.1060000000000001,2018-07-13,True,0.8620689655172413,2018-06,-1.7951153324287652,-0.14382632293080067
GLD,2018-06-29,2018-08-10,0.8769999999999999,0.05699999999999994,0.0039999999999998925,2018-07-20,True,0.8620689655172413,2018-06,0.064994298745724,0.004561003420752443
GLD,2018-07-06,2018-08-17,0.8869999999999999,-3.1729999999999996,-0.29600000000000015,2018-07-27,True,0.8666666666666667,2018-07,-3.577226606538895,-0.333709131905299
GLD,2018-07-13,2018-08-24,0.907,0.47700000000000004,0.06399999999999995,2018-08-03,True,0.8333333333333334,2018-07,0.525909592061742,0.07056229327453135
GLD,2018-07-20,2018-08-31,0.887,0.887,0.31399999999999995,2018-08-10,True,0.8666666666666667,2018-07,1.0,0.3540022547914317
GLD,2018-07-27,2018-09-07,0.807,0.777,-1.0459999999999998,2018-08-17,True,0.896551724137931,2018-07,0.9628252788104089,-1.2961586121437418
GLD,2018-08-03,2018-09-14,0.767,0.767,0.21399999999999997,2018-08-24,True,0.8620689655172413,2018-08,1.0,0.2790091264667535
GLD,2018-08-17,2018-09-28,0.967,0.967,0.584,2018-09-07,True,0.9310344827586207,2018-08,1.0,0.6039296794208894
GLD,2018-08-31,2018-10-12,0.8170000000000001,0.8170000000000001,0.45400000000000007,2018-09-21,True,0.9655172413793104,2018-08,1.0,0.5556915544675644
GLD,2018-09-07,2018-10-19,0.847,0.847,0.504,2018-09-28,True,0.9666666666666667,2018-09,1.0,0.5950413223140496
GLD,2018-09-14,2018-10-26,0.8370000000000001,0.5070000000000001,0.3440000000000001,2018-10-05,True,0.9,2018-09,0.6057347670250897,0.4109916367980885
GLD,2018-09-21,2018-11-02,0.747,0.747,0.02400000000000002,2018-10-12,True,0.9333333333333333,2018-09,1.0,0.03212851405622493
GLD,2018-09-28,2018-11-09,0.777,0.777,-0.366,2018-10-19,True,0.9333333333333333,2018-09,1.0,-0.47104247104247104
GLD,2018-10-05,2018-11-16,0.767,0.767,-0.24599999999999989,2018-10-26,True,0.9666666666666667,2018-10,1.0,-0.32073011734028667
GLD,2018-10-19,2018-11-30,0.807,0.807,0.324,2018-11-09,True,0.9310344827586207,2018-10,1.0,0.4014869888475836
