date,sym,ext10,arm,entry,legs,pnl,post,xname,day_ret,e_post,e_x
2026-06-18,STX,0.15530948259601196,09:30,09:45,1,5.556627377633479,1.0267743209185127,-1.117457383242181,-5.59663302039951,4.529853056714966,6.67408476087566
2026-06-18,TGTX,0.11575709066989193,09:54,10:32,1,-0.4845361798601868,-0.6477311994646969,-0.24212366711129976,1.6055045871559592,0.1631950196045101,-0.24241251274888706
2026-06-18,WDC,0.23617158973048635,09:30,09:54,1,4.142585459797782,1.2954615272742882,-0.2910278378929537,-2.346397958515989,2.8471239325234934,4.433613297690735
2026-06-22,ALAB,0.15428580405532788,09:30,09:54,1,-2.175386790207308,-3.4706317816647143,2.313648465311691,3.3293390662813227,1.2952449914574062,-4.489035255518999
2026-06-22,AMAT,0.1374607407209194,09:39,09:45,1,-1.7338121889558509,-2.296408645607883,1.316757082574104,2.246814218645188,0.5625964566520323,-3.050569271529955
2026-06-22,BE,0.222986563079834,09:30,09:52,2,-3.031211689061445,-1.6552947529612574,-0.6387750780562242,4.146084337349398,-1.3759169361001877,-2.3924366110052206
2026-06-22,GEV,0.15370338791582006,09:30,09:45,1,-0.007438507510328416,-0.5102884601737957,0.5949415779704779,-0.24246929312237153,0.5028499526634673,-0.6023800854808062
2026-06-22,HOOD,0.16135476233761104,09:48,10:13,1,4.028762306610412,1.283561061946187,-1.3472269281755689,-2.1203703703703725,2.745201244664225,5.3759892347859815
2026-06-22,INTC,0.1492114059857188,09:30,09:45,1,-2.8600138676009217,-1.0414435540300653,0.9488095553809522,1.2507188039103,-1.8185703135708564,-3.808823422981874
2026-06-22,KLAC,0.11928956101415356,09:35,09:45,2,-2.7843991403555064,-0.9791881629364404,-0.5595794889876116,1.242423101539858,-1.8052109774190659,-2.224819651367895
2026-06-22,LRCX,0.10348612812781766,09:40,09:45,2,-3.170034363372816,-2.0915394610167,1.3541561502770758,2.8088054419036723,-1.0784949023561161,-4.524190513649891
2026-06-22,MU,0.1449274415488011,09:30,09:45,1,-2.5554039793712713,-1.5986489330160467,-1.1058093249529073,1.2527012284581085,-0.9567550463552246,-1.449594654418364
2026-06-22,NBIS,0.18223167925659323,09:30,09:45,1,0.8755055355708369,-0.5248468871481827,1.4653625686964458,-2.16581597461718,1.4003524227190196,-0.5898570331256089
2026-06-22,SNDK,0.17487090086753687,09:30,09:45,2,-2.072641807411317,1.6746399619298287,0.24509514282966177,-0.835763948694368,-3.7472817693411455,-2.317736950240979
2026-06-22,TER,0.1164991780091027,09:30,09:45,1,-2.918907789928446,-2.3771996184026625,1.7227803576223972,0.2269065079417265,-0.5417081715257837,-4.641688147550843
2026-06-22,TGTX,0.12224028998745773,09:30,09:52,1,3.184129632101064,0.648283076262514,-0.027040447600524875,-0.42299170496785665,2.5358465558385497,3.211170079701589
2026-06-22,TXG,0.12597801939002928,09:30,09:45,1,8.426931628682595,4.769111626566177,-0.9416498245323413,-6.7799009200283145,3.6578200021164182,9.368581453214937
2026-06-24,IOVA,0.11306092228792797,09:30,09:45,1,5.721365149833513,1.9165738590644885,-0.12140893350243183,-6.703296703296702,3.8047912907690247,5.842774083335945
2026-06-25,BE,0.12222745991426631,09:33,09:45,1,8.700295020061354,1.0603282609150368,-0.38803062464264176,-10.68179849259292,7.639966759146317,9.088325644703996
2026-06-25,GLW,0.10112507918470937,09:30,09:48,2,-4.76461382006813,-2.2952742631210175,-1.7224348265651934,4.447494852436518,-2.469339556947112,-3.042178993502936
2026-06-25,NTRA,0.14713228005814316,09:30,09:53,1,1.8234348816629407,1.9929174523587025,-0.13597189359023865,0.6372378635152165,-0.1694825706957619,1.9594067752531794
2026-06-29,HNGE,0.1251532053240927,09:30,10:14,1,-1.394286781179983,-0.10457192472383034,-2.039601516541783,3.161829932834892,-1.2897148564561527,0.6453147353617998
2026-06-29,TXG,0.10831309890601659,09:30,09:45,1,-1.6490783410138252,-1.4126961713836867,-0.46330223823641264,-0.18812147272239121,-0.23638216963013847,-1.1857761027774125
2026-06-30,ALAB,0.13283111490070332,09:30,12:43,1,1.129462985374659,1.2731977502023444,-1.007991295529433,5.157924606552733,-0.14373476482768544,2.137454280904092
2026-06-30,DK,0.14657899841412125,09:30,09:45,2,0.5414940279366034,2.0567894812135465,2.48899987852879,-2.3068050749711744,-1.5152954532769431,-1.9475058505921865
2026-06-30,GLW,0.24720744169176423,09:43,10:52,1,3.2602298981176308,1.3267842398650693,0.5148299531338815,1.1089548100914781,1.9334456582525614,2.7453999449837494
2026-06-30,OKTA,0.1008920262535451,09:30,10:57,1,-1.5857976360761816,-0.40546441755710694,-1.169082383987054,3.567362428842502,-1.1803332185190747,-0.4167152520891275
2026-06-30,PANW,0.1345695005811982,09:30,10:09,1,-1.623387611986854,-0.9381931254671253,0.4499834064071117,4.0360250343459025,-0.6851944865197287,-2.0733710183939658
2026-06-30,RVMD,0.13615984243961043,09:30,09:46,1,1.5324614899321902,0.5258601275208201,-0.9240121440238431,-1.2293568300532964,1.00660136241137,2.4564736339560334
2026-07-01,OKTA,0.12667099357472544,09:30,10:33,1,-1.815845955064251,-1.0540607382794138,-0.6108710483459672,1.7084117561893875,-0.7617852167848371,-1.2049749067182838
2026-07-01,PANW,0.1433264747309808,09:30,09:46,2,-1.4376499026461393,-0.46540827900610554,0.07186747760754598,1.8941093055897085,-0.9722416236400337,-1.5095173802536854
2026-07-02,DK,0.14272193257415156,09:30,10:02,1,1.3555472263868065,-0.4034263199115292,1.4222503219437157,-2.04803574753305,1.7589735462983356,-0.06670309555690923
2026-07-02,OKTA,0.13707018639623403,09:32,10:07,1,1.358352506449146,0.22045915245849645,-0.26697005633355214,0.7660241564827031,1.1378933539906495,1.6253225627826982
2026-07-06,GH,0.1481258288364955,09:30,09:45,1,-1.572079172181447,1.0040321161418722,0.5429772348708239,-3.061810661764708,-2.576111288323319,-2.115056407052271
2026-07-06,OKTA,0.11912126995212957,09:33,10:05,2,-2.9246673476605602,-1.6592595717154395,0.1609741130621689,3.0431165950367545,-1.2654077759451208,-3.085641460722729
2026-07-06,PANW,0.11530165754051147,09:44,11:37,1,0.3735517039596461,0.7875375793463073,1.24699093953842,5.425418928487158,-0.4139858753866612,-0.8734392355787739
2026-07-07,HNGE,0.12617995752166022,09:32,09:45,1,0.25690251660064245,0.21542787394662563,2.7713336772183093,0.6308437535203382,0.04147464265401682,-2.514431160617667
2026-07-07,OKTA,0.14796907171294227,09:30,09:45,1,-3.498275862068974,-1.9988333341541278,1.6198881217198604,-1.0600000000000054,-1.4994425279148462,-5.118163983788834
2026-07-07,PLTR,0.11393123902313507,09:30,09:56,1,-1.052018993494357,1.0609416358481312,0.01820594346819,0.4710984820160302,-2.112960629342488,-1.070224936962547
2026-07-07,ZETA,0.1107151856419184,09:30,09:45,1,-3.1191708657810433,-5.4665750761275715,0.4179750317878163,-0.9057971014492683,2.3474042103465282,-3.5371458975688594
2026-07-09,DINO,0.10056558340088784,09:33,09:46,1,0.4123683534549184,0.19315859987313067,0.29691553682334804,0.3236245954692629,0.21920975358178774,0.11545281663157037
2026-07-09,DK,0.10143842564158234,09:30,09:47,1,-0.5160333393081161,-0.4803114460996486,-0.20894944154440478,0.340136054421758,-0.035721893208467526,-0.30708389776371137
2026-07-09,NET,0.11368643611106521,09:35,09:45,1,-0.38113787707871805,-0.8638080036361704,0.524056599546462,1.166801203493062,0.48267012655745234,-0.90519447662518
2026-07-10,HPE,0.10228268888431935,09:30,10:14,1,3.0858036033480993,1.6749369648906665,-0.6392750400647559,-1.0809708341831592,1.4108666384574329,3.7250786434128553
2026-07-10,NET,0.10001871236359694,09:32,09:45,1,2.6855072463768157,0.700446483469482,0.2966378069804926,-4.035890469721892,1.9850607629073336,2.388869439396323
2026-07-10,TXG,0.12114034908583093,09:30,09:55,1,-0.06169727453503932,-0.7243257740012339,0.594600008635013,-0.3264164140825421,0.6626284994661945,-0.6562972831700524
2026-07-10,WT,0.10603695469874475,09:31,09:46,1,3.75761523046093,1.5083997465550012,-1.2002079478534369,-3.3232628398791597,2.2492154839059286,4.957823178314367
