sym,date,expiry,wing,width,credit,cw,roc,win,iv,S,ST,month
AMD,2023-07-21,2023-08-18,0.25,5.0,1.437,0.2874,0.4033118158854898,True,0.5057,111.0967375520768,106.41821177871758,2023-07
AMD,2023-07-21,2023-08-18,0.2,5.0,1.437,0.2874,0.4033118158854898,True,0.5057,111.0967375520768,106.41821177871758,2023-07
AMD,2023-07-21,2023-08-18,0.15,10.0,2.357,0.23570000000000002,0.30838675912599767,True,0.5057,111.0967375520768,106.41821177871758,2023-07
AMD,2023-07-21,2023-08-18,0.1,10.0,2.357,0.23570000000000002,0.30838675912599767,True,0.5057,111.0967375520768,106.41821177871758,2023-07
AMD,2023-07-28,2023-08-25,0.25,2.0,0.5369999999999998,0.2684999999999999,-1.0,False,0.5167999999999999,113.13555438323411,102.9796963376864,2023-07
AMD,2023-07-28,2023-08-25,0.2,5.0,1.297,0.25939999999999996,-0.46538041110278,False,0.5167999999999999,113.13555438323411,102.9796963376864,2023-07
AMD,2023-07-28,2023-08-25,0.15,8.0,1.867,0.233375,-0.18804886064138177,False,0.5167999999999999,113.13555438323411,102.9796963376864,2023-07
AMD,2023-07-28,2023-08-25,0.1,11.0,2.287,0.2079090909090909,-0.0841620179402725,False,0.5167999999999999,113.13555438323411,102.9796963376864,2023-07
AMD,2023-08-04,2023-09-01,0.25,2.0,0.5369999999999998,0.2684999999999999,0.36705399863294585,True,0.44575,115.58901807355134,109.47580201810258,2023-08
AMD,2023-08-04,2023-09-01,0.2,4.0,1.0270000000000001,0.25675000000000003,0.3454423141607804,True,0.44575,115.58901807355134,109.47580201810258,2023-08
AMD,2023-08-04,2023-09-01,0.15,7.0,1.567,0.22385714285714284,0.28842260261365726,True,0.44575,115.58901807355134,109.47580201810258,2023-08
AMD,2023-08-04,2023-09-01,0.1,10.0,1.947,0.1947,0.2417732522041475,True,0.44575,115.58901807355134,109.47580201810258,2023-08
AMD,2023-08-11,2023-09-08,0.25,2.0,0.537,0.2685,0.367053998632946,True,0.4295,108.0176350284639,106.44185905991665,2023-08
AMD,2023-08-11,2023-09-08,0.2,4.0,1.0070000000000001,0.25175000000000003,0.3364517206815904,True,0.4295,108.0176350284639,106.44185905991665,2023-08
AMD,2023-08-11,2023-09-08,0.15,7.0,1.5370000000000001,0.21957142857142858,0.28134724510342307,True,0.4295,108.0176350284639,106.44185905991665,2023-08
AMD,2023-08-11,2023-09-08,0.1,7.0,1.5370000000000001,0.21957142857142858,0.28134724510342307,True,0.4295,108.0176350284639,106.44185905991665,2023-08
AMD,2023-08-18,2023-09-15,0.2,5.0,1.187,0.2374,0.31130343561500134,True,0.44855,106.41821177871758,102.05129026985547,2023-08
AMD,2023-08-18,2023-09-15,0.15,5.0,1.187,0.2374,0.31130343561500134,True,0.44855,106.41821177871758,102.05129026985547,2023-08
AMD,2023-08-25,2023-09-22,0.25,2.0,0.5269999999999998,0.2634999999999999,0.1822258273748572,True,0.43225,102.9796963376864,96.74141864372316,2023-08
AMD,2023-08-25,2023-09-22,0.2,3.0,0.7669999999999998,0.2556666666666666,0.22768412168525065,True,0.43225,102.9796963376864,96.74141864372316,2023-08
AMD,2023-08-25,2023-09-22,0.15,7.0,1.4769999999999999,0.211,0.22060811945014755,True,0.43225,102.9796963376864,96.74141864372316,2023-08
AMD,2023-08-25,2023-09-22,0.1,7.0,1.4769999999999999,0.211,0.22060811945014755,True,0.43225,102.9796963376864,96.74141864372316,2023-08
AMD,2023-09-01,2023-09-29,0.25,2.0,0.5170000000000002,0.2585000000000001,-0.2301794373521926,False,0.38645,109.47580201810258,103.1416438944067,2023-09
AMD,2023-09-01,2023-09-29,0.2,4.0,0.9570000000000002,0.23925000000000005,0.03241665935152758,True,0.38645,109.47580201810258,103.1416438944067,2023-09
AMD,2023-09-01,2023-09-29,0.15,6.0,1.2970000000000002,0.2161666666666667,0.0932689547962361,True,0.38645,109.47580201810258,103.1416438944067,2023-09
AMD,2023-09-01,2023-09-29,0.1,8.0,1.5470000000000002,0.19337500000000002,0.10671685950824399,True,0.38645,109.47580201810258,103.1416438944067,2023-09
AMD,2023-09-08,2023-10-06,0.25,2.0,0.547,0.2735,0.3764624913971095,True,0.3979,106.44185905991665,107.59920712403651,2023-09
AMD,2023-09-08,2023-10-06,0.2,4.0,0.997,0.24925,0.332001332001332,True,0.3979,106.44185905991665,107.59920712403651,2023-09
AMD,2023-09-08,2023-10-06,0.15,6.0,1.3570000000000002,0.2261666666666667,0.29226793021753183,True,0.3979,106.44185905991665,107.59920712403651,2023-09
AMD,2023-09-08,2023-10-06,0.1,9.0,1.717,0.1907777777777778,0.23575449677330773,True,0.3979,106.44185905991665,107.59920712403651,2023-09
AMD,2023-09-15,2023-10-13,0.25,2.0,0.517,0.2585,0.34861766689143625,True,0.3895,102.05129026985547,105.55147651943773,2023-09
AMD,2023-09-15,2023-10-13,0.2,4.0,0.957,0.23925,0.3144922773578705,True,0.3895,102.05129026985547,105.55147651943773,2023-09
AMD,2023-09-15,2023-10-13,0.15,5.0,1.137,0.2274,0.2943308309603935,True,0.3895,102.05129026985547,105.55147651943773,2023-09
AMD,2023-09-15,2023-10-13,0.1,7.0,1.417,0.20242857142857143,0.2538061973849185,True,0.3895,102.05129026985547,105.55147651943773,2023-09
AMD,2023-09-22,2023-10-20,0.25,2.0,0.507,0.2535,0.33958472873409246,True,0.42525,96.74141864372316,102.15723785412082,2023-09
AMD,2023-09-22,2023-10-20,0.2,3.0,0.7370000000000002,0.24566666666666673,0.3256738842244809,True,0.42525,96.74141864372316,102.15723785412082,2023-09
AMD,2023-09-22,2023-10-20,0.15,6.0,1.2470000000000003,0.2078333333333334,0.2623606143488324,True,0.42525,96.74141864372316,102.15723785412082,2023-09
AMD,2023-09-22,2023-10-20,0.1,6.0,1.2470000000000003,0.2078333333333334,0.2623606143488324,True,0.42525,96.74141864372316,102.15723785412082,2023-09
AMD,2023-09-29,2023-10-27,0.25,2.0,0.527,0.2635,-0.7344774268611302,False,0.4256,103.1416438944067,96.39111475023356,2023-09
AMD,2023-09-29,2023-10-27,0.2,4.0,0.987,0.24675,-0.20640068030748251,False,0.4256,103.1416438944067,96.39111475023356,2023-09
AMD,2023-09-29,2023-10-27,0.15,7.0,1.5070000000000001,0.2152857142857143,-0.018548197663652764,False,0.4256,103.1416438944067,96.39111475023356,2023-09
AMD,2023-09-29,2023-10-27,0.1,9.0,1.747,0.19411111111111112,0.01904243075052466,True,0.4256,103.1416438944067,96.39111475023356,2023-09
AMD,2023-10-06,2023-11-03,0.25,2.0,0.527,0.2635,0.35777325186693826,True,0.5176499999999999,107.59920712403651,112.76329686626897,2023-10
AMD,2023-10-06,2023-11-03,0.2,5.0,1.2469999999999999,0.24939999999999998,0.332267519317879,True,0.5176499999999999,107.59920712403651,112.76329686626897,2023-10
AMD,2023-10-06,2023-11-03,0.15,8.0,1.787,0.223375,0.2876227265411234,True,0.5176499999999999,107.59920712403651,112.76329686626897,2023-10
AMD,2023-10-06,2023-11-03,0.1,11.0,2.177,0.19790909090909092,0.24674147115493597,True,0.5176499999999999,107.59920712403651,112.76329686626897,2023-10
AMD,2023-10-13,2023-11-10,0.25,2.0,0.4770000000000002,0.2385000000000001,0.31319763624425495,True,0.5453,105.55147651943773,118.87834532521713,2023-10
AMD,2023-10-13,2023-11-10,0.2,5.0,1.177,0.2354,0.30787339785508766,True,0.5453,105.55147651943773,118.87834532521713,2023-10
AMD,2023-10-13,2023-11-10,0.15,8.0,1.697,0.212125,0.2692368713311122,True,0.5453,105.55147651943773,118.87834532521713,2023-10
AMD,2023-10-13,2023-11-10,0.1,11.0,2.087,0.18972727272727274,0.23415236171883766,True,0.5453,105.55147651943773,118.87834532521713,2023-10
AMD,2023-10-20,2023-11-17,0.2,5.0,1.2169999999999999,0.24339999999999998,0.3217023526301876,True,0.5571999999999999,102.15723785412082,121.13373864725551,2023-10
AMD,2023-10-20,2023-11-17,0.15,10.0,2.017,0.2017,0.25266190655142173,True,0.5571999999999999,102.15723785412082,121.13373864725551,2023-10
AMD,2023-10-20,2023-11-17,0.1,10.0,2.017,0.2017,0.25266190655142173,True,0.5571999999999999,102.15723785412082,121.13373864725551,2023-10
AMD,2023-10-27,2023-11-24,0.25,3.0,0.8370000000000001,0.279,0.38696255201109575,True,0.5676,96.39111475023356,122.77236289033519,2023-10
AMD,2023-10-27,2023-11-24,0.2,5.0,1.307,0.26139999999999997,0.3539128080151638,True,0.5676,96.39111475023356,122.77236289033519,2023-10
AMD,2023-10-27,2023-11-24,0.15,10.0,2.1470000000000002,0.21470000000000003,0.2733987011333249,True,0.5676,96.39111475023356,122.77236289033519,2023-10
AMD,2023-10-27,2023-11-24,0.1,10.0,2.1470000000000002,0.21470000000000003,0.2733987011333249,True,0.5676,96.39111475023356,122.77236289033519,2023-10
AMD,2023-11-03,2023-12-01,0.25,2.0,0.487,0.2435,0.3218770654329148,True,0.3883999999999999,112.76329686626897,121.35392820883197,2023-11
AMD,2023-11-03,2023-12-01,0.2,4.0,0.9069999999999999,0.22674999999999998,0.2932428063368897,True,0.3883999999999999,112.76329686626897,121.35392820883197,2023-11
AMD,2023-11-03,2023-12-01,0.15,6.0,1.237,0.2061666666666667,0.25971026663867314,True,0.3883999999999999,112.76329686626897,121.35392820883197,2023-11
AMD,2023-11-03,2023-12-01,0.1,9.0,1.5870000000000002,0.17633333333333334,0.21408336705787132,True,0.3883999999999999,112.76329686626897,121.35392820883197,2023-11
AMD,2023-11-10,2023-12-08,0.25,3.0,0.797,0.26566666666666666,0.3617793917385384,True,0.4242,118.87834532521713,128.9932152172114,2023-11
AMD,2023-11-10,2023-12-08,0.2,5.0,1.237,0.2474,0.3287270794578794,True,0.4242,118.87834532521713,128.9932152172114,2023-11
AMD,2023-11-10,2023-12-08,0.15,8.0,1.737,0.217125,0.2773431262973016,True,0.4242,118.87834532521713,128.9932152172114,2023-11
AMD,2023-11-10,2023-12-08,0.1,11.0,2.077,0.1888181818181818,0.2327692480107587,True,0.4242,118.87834532521713,128.9932152172114,2023-11
AMD,2023-11-17,2023-12-15,0.25,5.0,1.287,0.25739999999999996,0.34661998384056014,True,0.41275,121.13373864725551,138.96680235745006,2023-11
AMD,2023-11-17,2023-12-15,0.2,5.0,1.287,0.25739999999999996,0.34661998384056014,True,0.41275,121.13373864725551,138.96680235745006,2023-11
AMD,2023-11-17,2023-12-15,0.15,10.0,2.037,0.2037,0.25580811252040686,True,0.41275,121.13373864725551,138.96680235745006,2023-11
AMD,2023-11-17,2023-12-15,0.1,10.0,2.037,0.2037,0.25580811252040686,True,0.41275,121.13373864725551,138.96680235745006,2023-11
AMD,2023-11-24,2023-12-22,0.25,1.0,0.237,0.237,0.3106159895150721,True,0.37925,122.77236289033519,139.45931692189114,2023-11
AMD,2023-11-24,2023-12-22,0.2,4.0,0.9069999999999999,0.22674999999999998,0.2932428063368897,True,0.37925,122.77236289033519,139.45931692189114,2023-11
AMD,2023-11-24,2023-12-22,0.15,6.0,1.2469999999999999,0.20783333333333331,0.2623606143488323,True,0.37925,122.77236289033519,139.45931692189114,2023-11
AMD,2023-11-24,2023-12-22,0.1,9.0,1.6069999999999998,0.17855555555555552,0.21736778033274715,True,0.37925,122.77236289033519,139.45931692189114,2023-11
AMD,2023-12-01,2023-12-29,0.25,2.0,0.527,0.2635,0.35777325186693826,True,0.3440999999999999,121.35392820883197,147.9169375109579,2023-12
AMD,2023-12-01,2023-12-29,0.2,4.0,0.967,0.24175,0.3188262446422684,True,0.3440999999999999,121.35392820883197,147.9169375109579,2023-12
AMD,2023-12-01,2023-12-29,0.15,6.0,1.3070000000000002,0.21783333333333335,0.27849989345834225,True,0.3440999999999999,121.35392820883197,147.9169375109579,2023-12
