ticker,entry,expiry,S,ks,kl,credit,width,maxloss,cost,ba_s,ba_l,iv30,rv21,log_ivrv,put_skew,ff,trend_z,vix,ST,roc_hold,ivp,skew_z,roc_mgd
TLT,2020-11-13,2020-12-11,157.965,155.5,152.5,0.7349999999999999,3.0,2.265,0.1705,0.20999999999999996,0.42000000000000004,0.1275099294172743,0.16038597257364956,-0.22938899947675584,0.022002970492658314,-0.29426784857116606,-0.26715245846155644,23.1,158.57424791350533,0.24922737306843262,0.1346153846153846,0.7133922236311955,0.05916114790286969
TLT,2020-11-20,2020-12-18,161.115,158.0,155.0,0.595,3.0,2.4050000000000002,0.03549999999999996,0.04999999999999982,0.040000000000000036,0.14677612858679365,0.15697070883196423,-0.06715072884197174,-0.017214209819490955,-0.12375301699679694,0.0639887572460387,23.7,155.94766856541395,-0.6207199312208113,0.34615384615384615,-0.4776917412590499,-0.3060291060291061
TLT,2020-11-27,2020-12-24,159.895,157.5,154.5,0.6249999999999999,3.0,2.375,0.10549999999999998,0.21999999999999997,0.14999999999999997,0.13528582159703,0.16063462763035244,-0.17174265505765113,-0.014886586005103841,-0.22284182168339314,-0.019333944963198277,20.84,156.97094339033828,-0.004023835647041148,0.25,-0.38654837382235996,-0.4404210526315789
TLT,2020-12-04,2020-12-31,155.13,152.5,149.5,0.6199999999999999,3.0,2.38,0.038000000000000006,0.050000000000000044,0.04999999999999999,0.1355353030962771,0.152824440867466,-0.1200576714211991,0.03953427923439201,-0.2592374379129996,-0.423040735522264,20.79,157.65885889175257,0.24453781512605036,0.25,1.236033681192763,0.2558823529411764
TLT,2020-12-11,2021-01-08,158.58,155.5,152.0,0.6749999999999999,3.5,2.825,0.06050000000000004,0.1200000000000001,0.07000000000000006,0.1459612559421191,0.13550860169977147,0.07430609674792439,0.042508975885309885,-0.11640469767577209,-0.030712141033747704,23.31,151.1389154122315,-1.0214159292035399,0.3269230769230769,1.2757764216472345,-0.5667256637168143
TLT,2020-12-18,2021-01-15,156.38500000000002,154.0,150.0,0.755,4.0,3.245,0.035500000000000004,0.06000000000000005,0.02999999999999997,0.13851146773098247,0.12112688891390061,0.13411445686364315,0.020875000942834454,-0.18309463908388,-0.285273706859156,21.57,151.8734132923943,-0.4336168590464396,0.23076923076923078,0.5987770186210546,-0.43790446841294306
TLT,2021-01-08,2021-02-05,151.25,148.5,145.5,0.6,3.0,2.4,0.07299999999999998,0.08999999999999986,0.15000000000000008,0.1442267593416381,0.09837473075588993,0.3826028088406821,-0.01182867188119141,-0.11371848088814403,-0.9417246931916298,21.56,147.96152194025905,-0.004782524892063787,0.2692307692307692,-0.37658596144326817,0.2975000000000001
TLT,2021-01-15,2021-02-12,151.84,149.0,146.0,0.6349999999999999,3.0,2.365,0.07049999999999998,0.1399999999999999,0.09000000000000002,0.14378436580766896,0.10543437647570839,0.31022598214170943,0.02828494982901142,-0.2529463798286768,-0.7111499838277183,24.34,147.1293795283889,-0.5522708125205457,0.25,0.7880852559933643,0.17928118393234668
TLT,2021-01-22,2021-02-19,151.715,149.5,146.5,0.635,3.0,2.365,0.04549999999999996,0.06999999999999984,0.06,0.1317132673515326,0.10813124169608364,0.19728165261207023,0.014403534824948494,-0.28532944923846343,-0.6060467314545747,21.91,143.11435376613116,-1.0192389006342495,0.1346153846153846,0.3669094771243059,-0.38097251585623687
TLT,2021-01-29,2021-02-26,151.67499999999998,149.0,146.0,0.6499999999999999,3.0,2.35,0.07299999999999997,0.1499999999999999,0.08999999999999997,0.14087213232723111,0.11495028242908215,0.20335290782229049,-0.00754317645123892,-0.26399713924142104,-0.5060277210265943,33.09,142.81398684210527,-1.031063829787234,0.23076923076923078,-0.28464458791000435,-0.3408510638297872
