day,struct,gex,credit,maxrisk,pnl_usd,ret_risk,NEG,half
2021-06-18,iron condor 16/5,2448509813.65949,0.5139999999999999,4.486,-348.6,-77.70842621489078,False,2018-2026
2021-06-21,put spread 16/5,-10730353675.7625,0.3045,5.6955,30.45,5.346326046879115,True,2018-2026
2021-06-21,iron condor 16/5,-10730353675.7625,0.4565,5.5435,45.65,8.234869667177776,True,2018-2026
2021-06-23,put spread 16/5,5303156041.290962,0.13199999999999998,3.868,13.199999999999998,3.4126163391933813,False,2018-2026
2021-06-23,iron condor 16/5,5303156041.290962,0.18399999999999997,3.816,18.4,4.821802935010481,False,2018-2026
2021-06-25,put spread 16/5,8154507613.76073,0.12199999999999998,3.378,12.199999999999998,3.611604499703966,False,2018-2026
2021-06-25,iron condor 16/5,8154507613.76073,0.204,3.296,20.4,6.189320388349515,False,2018-2026
2021-06-28,put spread 16/5,9791031497.521742,0.112,3.888,11.200000000000001,2.880658436213992,False,2018-2026
2021-06-28,iron condor 16/5,9791031497.521742,0.17399999999999996,3.826,17.399999999999995,4.5478306325143745,False,2018-2026
2021-06-30,put spread 16/5,5337265109.055139,0.102,2.898,10.2,3.519668737060041,False,2018-2026
2021-06-30,iron condor 16/5,5337265109.055139,0.12400000000000003,2.876,12.400000000000002,4.311543810848402,False,2018-2026
2021-07-02,put spread 16/5,6505889251.575039,0.172,3.328,17.2,5.168269230769231,False,2018-2026
2021-07-02,iron condor 16/5,6505889251.575039,0.314,3.186,-143.6,-45.0721908349027,False,2018-2026
2021-07-06,put spread 16/5,9711827471.282187,0.14199999999999996,3.858,14.199999999999996,3.680663556246759,False,2018-2026
2021-07-06,iron condor 16/5,9711827471.282187,0.24399999999999997,3.7560000000000002,24.399999999999995,6.496272630457933,False,2018-2026
2021-07-07,put spread 16/5,3849745697.1725307,0.13199999999999998,2.868,13.199999999999998,4.602510460251046,False,2018-2026
2021-07-07,iron condor 16/5,3849745697.1725307,0.274,2.726,27.400000000000002,10.051357300073368,False,2018-2026
2021-07-09,put spread 16/5,-1716871879.714417,0.242,3.758,24.2,6.439595529536987,True,2018-2026
2021-07-09,iron condor 16/5,-1716871879.714417,0.404,3.596,-159.60000000000002,-44.38264738598443,True,2018-2026
2021-07-12,put spread 16/5,11155481109.92358,0.162,3.838,16.2,4.220948410630537,False,2018-2026
2021-07-12,iron condor 16/5,11155481109.92358,0.28400000000000003,3.716,28.400000000000002,7.642626480086115,False,2018-2026
2021-07-14,put spread 16/5,3823418620.3068175,0.152,2.848,15.2,5.337078651685393,False,2018-2026
2021-07-14,iron condor 16/5,3823418620.3068175,0.24400000000000002,2.756,24.400000000000002,8.853410740203195,False,2018-2026
2021-07-16,put spread 16/5,1902849029.966998,0.22199999999999995,3.778,22.199999999999996,5.87612493382742,False,2018-2026
2021-07-16,iron condor 16/5,1902849029.966998,0.3639999999999999,3.636,36.39999999999999,10.011001100110008,False,2018-2026
2021-07-19,put spread 16/5,-3776759303.563138,0.252,4.748,-77.79999999999727,-16.385846672282494,True,2018-2026
2021-07-19,iron condor 16/5,-3776759303.563138,0.40399999999999997,4.596,-62.59999999999728,-13.620539599651279,True,2018-2026
2021-07-21,put spread 16/5,2159344387.1026464,0.28200000000000003,4.718,28.200000000000003,5.977108944467995,False,2018-2026
2021-07-21,iron condor 16/5,2159344387.1026464,0.42399999999999993,4.5760000000000005,42.39999999999999,9.265734265734263,False,2018-2026
2021-07-23,put spread 16/5,-2.3516790972399975e+24,0.18200000000000002,3.818,18.200000000000003,4.766893661602934,True,2018-2026
2021-07-23,iron condor 16/5,-2.3516790972399975e+24,0.344,3.656,-205.59999999999775,-56.23632385120288,True,2018-2026
2021-07-26,put spread 16/5,13569322859.931072,0.20199999999999999,3.798,20.2,5.318588730911005,False,2018-2026
2021-07-26,iron condor 16/5,13569322859.931072,0.31399999999999995,3.686,31.399999999999995,8.518719479110146,False,2018-2026
2021-07-28,put spread 16/5,1516184499.2431011,0.272,3.7279999999999998,27.200000000000003,7.296137339055794,False,2018-2026
2021-07-28,iron condor 16/5,1516184499.2431011,0.42399999999999993,3.576,42.39999999999999,11.856823266219237,False,2018-2026
2021-07-30,put spread 16/5,5133016124.937325,0.17200000000000001,3.328,17.200000000000003,5.168269230769231,False,2018-2026
2021-07-30,iron condor 16/5,5133016124.937325,0.224,3.276,22.400000000000002,6.837606837606838,False,2018-2026
2021-08-02,put spread 16/5,113968052.87631007,0.21449999999999997,3.7855,21.449999999999996,5.666358473121119,False,2018-2026
2021-08-02,iron condor 16/5,113968052.87631007,0.3764999999999999,3.6235,37.64999999999999,10.390506416448183,False,2018-2026
2021-08-04,put spread 16/5,3568374640.1577096,0.19199999999999998,2.808,19.2,6.837606837606837,False,2018-2026
2021-08-04,iron condor 16/5,3568374640.1577096,0.2739999999999999,2.726,27.39999999999999,10.051357300073365,False,2018-2026
2021-08-06,put spread 16/5,4267559527.67237,0.162,3.338,16.2,4.853205512282805,False,2018-2026
2021-08-06,iron condor 16/5,4267559527.67237,0.274,3.226,27.400000000000002,8.493490390576566,False,2018-2026
2021-08-09,put spread 16/5,10429257845.16251,0.152,2.848,15.2,5.337078651685393,False,2018-2026
2021-08-09,iron condor 16/5,10429257845.16251,0.344,2.656,34.4,12.95180722891566,False,2018-2026
2021-08-11,put spread 16/5,3710164508.552493,0.142,2.858,14.2,4.968509447165849,False,2018-2026
2021-08-11,iron condor 16/5,3710164508.552493,0.19399999999999998,2.806,19.4,6.913756236635779,False,2018-2026
