date,sym,t,brk,rt_vwap,rt_mid,rnd
2026-08-21,DE,09:49,3.3186317124331177,4.155142471216311,,3.88438879000265
2026-08-21,HOOD,09:49,1.0135924144051511,2.56094090865977,,0.5181214568968917
2026-08-21,TGTX,09:49,-2.5099822999476884,1.1363869267990934,,-2.2246891117994974
2026-08-21,TSLA,10:04,1.749663526244949,,,0.40448493781935674
2026-08-24,HNGE,10:14,-0.7215643073533506,,,-1.3111076259871772
2026-08-24,AAOI,10:49,-2.3671322329040456,,,1.7809773000557823
2026-08-26,BBY,09:49,0.6212609295904281,,,0.2600860172592941
2026-08-26,SMTC,09:49,-4.486433313979354,1.5720775942886123,,-0.6920783954542392
2026-08-26,PTEN,10:39,1.206376561826783,,,3.1358374883290403
2026-08-27,NOW,09:49,1.3507082982539664,,,0.5824136366760676
2026-08-27,PANW,10:04,1.5508709553312183,,,1.5262769112280195
2026-08-27,TSM,10:29,0.3145761438598793,0.806813088301217,,0.6594670090490343
2026-08-31,TSLA,09:49,2.3649212620332705,,,1.1796040726694674
2026-09-01,TGTX,09:54,5.250328145509098,6.518645032735559,,3.100403793652158
2026-09-01,AAPL,10:04,1.034772070476353,,,0.35900036623826015
2026-09-02,NVDA,11:04,-0.46573519627410853,,,-1.044480559362837
2026-09-03,TSLA,09:49,-0.2848210264154938,0.885940222490289,1.584409625220995,-0.9869581500756897
2026-09-03,PLTR,09:54,-0.26889360120675443,,,-0.7834903443623142
2026-09-03,SPCX,09:54,0.8487134581705469,,,0.9010894094433267
2026-09-03,CRWD,10:24,1.7055803941049774,,,3.3755107021335036
2026-09-03,BE,11:04,2.8028399781540037,,,7.0969374232668985
2026-09-04,DRAM,09:59,1.9795221843003308,2.7333677153171587,,2.171432569707258
2026-09-04,SKHY,09:59,4.086169480760082,4.779845990173537,,4.22472283057708
2026-09-04,SNDK,09:59,4.976058020683749,,,3.3288172484206977
2026-09-04,TSM,10:14,0.6411159644920339,,,0.8477640659233288
2026-09-04,MU,10:29,1.4623899878579039,2.250632171749234,,1.5578885916938863
2026-09-08,LITE,09:54,6.099783080260313,,,1.1416771925273572
2026-09-08,AMD,10:24,1.6958358479179036,,,0.15079177777718908
2026-09-08,TSLA,10:24,1.122363720140207,,,1.4605775825049145
2026-09-09,MRVL,09:59,-2.209829789004958,,,-1.3565900501597783
2026-09-09,NET,09:59,2.015775635407535,,,1.901016572662025
2026-02-02,SMTC,10:04,2.702386523163325,,,0.6977877860943357
2026-02-02,AAPL,10:09,2.2689393939393954,2.698796097301215,,2.177405955669213
2026-02-02,DELL,10:09,1.7242851045667917,,,2.074700526600992
2026-02-02,GOOGL,10:09,0.4059460880231347,1.0344422240508022,,0.49479103846021094
2026-02-02,MU,10:09,2.0344907946865387,,,0.8808942078636065
2026-02-02,SNDK,10:09,2.686944718657447,,,3.3753223398858374
2026-02-02,WDC,10:09,2.5717919031259973,,,3.0425320004951644
2026-02-02,AAOI,10:19,-6.827109172893486,,,-4.657092016186404
2026-02-02,TER,10:19,-2.3880523575321666,,,-0.6176903722318827
2026-02-02,GLW,10:39,1.136467784804318,,,0.2548439980321134
2026-02-02,IBIT,10:39,-1.4269788182831644,,,-0.7322207000530249
2026-02-03,FCX,09:54,-2.2623506294445983,1.0871757665972925,1.3322884012539227,-2.269274459165031
2026-02-03,ADM,09:59,2.870667277446959,,,0.7512842131027727
2026-02-03,HTFL,10:54,-2.704779679159064,-1.219087425983978,-0.17599436818022118,1.412872915325784
2026-02-03,TER,10:54,-2.418907834551831,,,2.957725757863527
2026-02-03,NUE,10:59,-1.7787950364864358,-0.06429489927131105,,-0.6373929780665422
2026-02-03,WDC,10:59,-1.501043097745891,,1.2800837111963892,2.399402068170723
2026-02-04,AAPL,09:49,-1.2832910825464672,0.13948517290727214,,-0.17963798776395126
2026-02-04,COHR,09:49,-4.765059435207686,-4.9032837820237045,-4.940810535576611,-3.1894723214905163
2026-02-04,LITE,09:49,-6.051107379159582,-6.292680274356788,-6.432260872658624,-6.558938294238684
2026-02-04,WDC,09:49,-5.1428099332291755,-5.251151365326779,-5.288967919457743,-2.853856816638741
2026-02-04,ADBE,10:09,2.8045284128501047,,,1.4842141029769145
2026-02-04,DE,10:09,1.18512573568752,1.6565131696828495,,1.2621338449935626
2026-02-04,NOW,10:09,2.057972345996606,,,0.7418699714089668
2026-02-04,CRM,10:14,2.005628037861351,,,-0.5368819645435489
2026-02-04,HNGE,10:19,0.1656377051648894,,,-2.387604804509228
2026-02-04,CRWD,10:24,-0.09706038810687323,,,-0.14208931010964246
2026-02-04,MSFT,10:24,-0.4494436032398408,,,-0.2934990585039839
2026-02-04,PANW,10:24,0.6950902832296713,,,0.9310436403479357
2026-02-04,TEAM,10:24,-1.124970581313245,,,0.4000721050908836
2026-02-04,DELL,10:39,-2.1305902065850923,,,0.9896617333482091
2026-02-04,HPE,10:39,3.1964483906770313,,,3.2759270106180147
2026-02-04,OKTA,10:39,0.3066193711296794,,,0.6143794199323168
2026-02-04,CDW,11:29,1.351649158892232,,,1.0773707090355116
2026-02-04,CLMT,11:29,-1.4679268047456229,,,-0.5265591245407708
2026-02-04,CNH,11:34,1.3130029648454222,1.9607843137254832,,1.7013183540128891
