entry,expiry,dte,spot,strike,credit,settle,iv30,rv30,ivp,ff,ret_gross,ret,fly_ret,log_ivrv
2021-12-03,2022-01-03,31,383.13,383.0,25.555,18.68,0.28609174322534414,0.1800407825328266,0.9960159362549801,0.021226839625593893,0.26902758755625095,0.26607317550381504,-0.16406976744186139,0.4631291450349787
2021-12-10,2022-01-10,31,398.01,398.0,18.02,17.89,0.19419426546956736,0.20852347079545963,0.5577689243027888,-0.17240241593899663,0.007214206437292632,0.004273029966704394,-0.9968333333333311,-0.07119257823747593
2021-12-17,2022-01-14,28,384.91,385.0,20.12,4.99,0.23590992454333867,0.24558598071773602,0.6972111553784861,-0.059236156278422804,0.751988071570576,0.7493538767395622,1.2811926605504564,-0.04019705637048973
2021-12-31,2022-01-31,31,397.85,398.0,16.29,34.95,0.17562135363211936,0.23300677891309948,0.17928286852589642,-0.21871495422822235,-1.1454880294659295,-1.1493554327808464,-1.0212536728697357,-0.2827372695546851
2022-01-07,2022-02-07,31,379.86,380.0,19.72,24.87,0.22266858280327034,0.23151654916508954,0.6812749003984063,-0.07816065426036381,-0.2611561866125764,-0.2633367139959435,-1.0116945107398567,-0.03896686741007266
2022-01-14,2022-02-14,31,380.01,380.0,19.985,32.51,0.22557175872801188,0.22558076917568307,0.7290836653386454,-0.06337544986539112,-0.6267200400300221,-0.6289967475606701,-1.0143552311435522,-3.9944130266710825e-05
2022-01-21,2022-02-18,28,351.69,352.0,25.5,10.49,0.32723337403532415,0.22575819375646036,0.9721115537848606,0.1509883147990032,0.5886274509803918,0.5861568627450977,0.9358702064896742,0.3712091110644225
2022-01-28,2022-02-28,31,351.8,352.0,23.575,5.2,0.2874295828618216,0.2468940460649523,0.9880478087649402,0.029556872312759764,0.7794273594909867,0.7766489925768828,1.4208549222797946,0.15201861976396994
2022-02-04,2022-03-07,31,358.01,358.0,21.9,33.14,0.26237627109324985,0.2995285181417113,0.8366533864541833,-0.05170493790849246,-0.5132420091324196,-0.5154337899543374,-1.0115356355620868,-0.13243000949743755
2022-02-11,2022-03-14,31,347.06,347.0,24.575,28.83,0.3037138256996566,0.32957083126497505,0.9721115537848606,0.028262682166288966,-0.17314343845371233,-0.17784333672431255,-0.7741065830721001,-0.08170540152761832
2022-02-18,2022-03-21,31,341.51,342.0,23.725,8.08,0.2979740160325288,0.33818324336928574,0.9402390438247012,0.06582588024499583,0.6594309799789259,0.656880927291887,1.2336158192090423,-0.12658160054193285
2022-02-25,2022-03-28,31,345.77,346.0,22.3,18.91,0.2766260984258553,0.35450240710058933,0.952191235059761,0.025112063467418146,0.15201793721972984,0.14941704035874329,-0.5643326039387346,-0.2480483669024525
2022-03-04,2022-04-04,31,337.3,337.0,25.27,32.3,0.32133978520431045,0.3250833324841146,0.9920318725099602,0.08813985382541888,-0.278195488721805,-0.2808864265927982,-0.5881697612732095,-0.011582472928827716
2022-03-11,2022-04-11,31,324.4,324.0,24.71,16.89,0.326713814473967,0.33283242067102725,0.9442231075697212,0.013496483388755743,0.31647106434641903,0.3139214892755975,0.03762962962963165,-0.018554519479651917
2022-03-18,2022-04-18,31,351.49,351.0,19.22,12.31,0.23453950699986711,0.36448568106550605,0.8207171314741036,-0.11859130460339339,0.35952133194588953,0.356503642039542,0.07266069975589882,-0.440863219862908
2022-03-25,2022-04-25,31,359.35,359.0,19.09,29.42,0.2278577882644605,0.32899920166339935,0.8247011952191236,-0.13180053783235543,-0.54112100576218,-0.5436354112100584,-1.013544201135442,-0.3673336255391866
2022-04-01,2022-05-02,31,361.85,362.0,18.65,43.52,0.2210679874267208,0.32577988037501254,0.8366533864541833,-0.15098605458314276,-1.3335120643431628,-1.3358176943699724,-0.8613243039879609,-0.38775165011106916
2022-04-08,2022-05-09,31,349.15,350.0,20.095,52.85,0.24686047622755414,0.2974506159258915,0.749003984063745,-0.10283970923879474,-1.63000746454342,-1.632271709380444,-1.0132352941176472,-0.18642491086477708
2022-04-22,2022-05-23,31,325.4,325.0,23.94,31.52,0.31556018048870227,0.2746260229390795,0.8764940239043825,0.04776366249863358,-0.31662489557226337,-0.3196741854636585,-0.8763713080168776,0.13893915463424944
2022-04-29,2022-05-27,28,313.25,313.0,26.045,3.9,0.37524136893926285,0.3353732759916354,0.9601593625498008,0.2243819870036678,0.850259166826647,0.8483202150124793,1.705521126760567,0.11232530122768296
2022-05-06,2022-06-03,28,309.25,309.0,23.4,2.8,0.3414943940094036,0.3875097573126236,0.9561752988047809,0.0641936558157338,0.8803418803418799,0.8767948717948714,1.9486021505376323,-0.12640976554694702
2022-05-13,2022-06-10,28,301.94,302.0,23.595,13.16,0.3526766935769904,0.4294830272338502,0.9482071713147411,0.11127495127982777,0.4422547149819866,0.43990252172070243,0.46376021798364786,-0.1970304681049549
2022-05-20,2022-06-17,28,288.68,288.0,21.86,13.31,0.3417518628639082,0.45182417966963634,0.9760956175298805,0.11745691013251407,0.3911253430924061,0.38847209515096054,0.2632623071271121,-0.2792081945826186
2022-05-27,2022-06-27,31,309.1,309.0,20.96,16.55,0.2908491986520622,0.45167918578321725,0.8406374501992032,-0.023363402233234815,0.2104007633587781,0.20787213740457963,-0.3355182926829283,-0.4401672467029948
2022-06-03,2022-07-01,28,306.2,306.0,20.53,23.87,0.3025946132998219,0.4213092786970759,0.8406374501992032,0.02837902255180383,-0.16268874817340492,-0.16527033609352182,-1.012971342383107,-0.3309731929016723
2022-06-10,2022-07-11,31,288.84,288.0,21.6,1.04,0.32075394988621453,0.3730170914203113,0.8247011952191236,-0.06586554672479823,0.951851851851851,0.9491666666666657,1.9174783188792504,-0.15094992214405958
2022-06-17,2022-07-18,31,274.69,275.0,21.68,14.4,0.33852599778971537,0.37151576789039004,0.9203187250996016,-0.00149923293055948,0.3357933579335804,0.3326568265682667,0.04779566130161247,-0.09299041478044587
2022-06-24,2022-07-25,31,294.61,295.0,20.5,5.27,0.2984571415734252,0.3920218457984581,0.848605577689243,-0.06162948737711185,0.7429268292682936,0.7400975609756106,1.2534582132564875,-0.27269122410970337
2022-07-01,2022-08-01,31,282.13,282.0,20.715,33.27,0.3149279941682969,0.3738249112489294,0.8007968127490039,-0.024417914728930394,-0.606082548877624,-0.6082790248612109,-1.010806697108067,-0.17144351330340668
2022-07-08,2022-08-08,31,295.35,295.0,19.65,25.71,0.2853653101299912,0.3648436791601844,0.6693227091633466,-0.062297687332448136,-0.30839694656488453,-0.3103307888040703,-1.011111111111111,-0.24569883616550214
2022-07-15,2022-08-15,31,291.87,292.0,19.145,41.06,0.2813464961563135,0.29859063674367553,0.701195219123506,-0.029695293633623956,-1.1446852964220424,-1.1465395664664404,-0.8582134746404239,-0.05948653530665327
2022-07-22,2022-08-22,31,301.99,302.0,18.81,12.36,0.26716024419949125,0.2690038758694576,0.6055776892430279,-0.07087779439733757,0.3429027113237633,0.3408825093035613,0.015770282588877062,-0.006877144020579921
2022-07-29,2022-08-29,31,315.46,315.0,18.15,10.59,0.24677884581909565,0.26707016908013764,0.44621513944223107,-0.08520388091207157,0.41652892561983607,0.4144352617079903,0.3160883280757138,-0.07901885491995742
2022-08-05,2022-09-02,28,321.75,322.0,17.915,26.83,0.2512902778261,0.26747570112210994,0.49800796812749004,-0.06358953597645939,-0.49762768629639886,-0.5001674574379004,-1.013380281690141,-0.06241996900277441
2022-08-12,2022-09-12,31,330.39,330.0,17.325,19.26,0.2249168267727576,0.2703425856054656,0.3904382470119522,-0.21061371287514175,-0.11168831168831121,-0.1140259740259735,-1.0128813559322034,-0.18395931520656061
2022-08-19,2022-09-19,31,322.86,323.0,18.145,31.95,0.2410562124035472,0.26269001408010173,0.47410358565737054,-0.14651492204140062,-0.7608156516946811,-0.7627721135298975,-1.0114517583408478,-0.08594453055072292
2022-08-26,2022-09-26,31,307.44,308.0,20.615,33.63,0.28760641323525965,0.2708262148678224,0.6613545816733067,-0.02561829372909126,-0.6313364055299535,-0.6335435362600045,-1.0123841617523168,0.0601155831218941
2022-09-02,2022-10-03,31,295.17,295.0,20.92,21.47,0.30399403590978447,0.2454135882624801,0.8446215139442231,-0.0008890230968282363,-0.026290630975144624,-0.028346080305928553,-1.0113338473400155,0.2140631798593665
